assignment_id,week_id,week_start,week_end,nT,rotation_group,rotation_round,pharmacy_id,location_id,shift_type,access_mode,schedule_source
O000231,2026-W14,2026-03-30,2026-04-06,7,7,1,P0112,L0112,H24,P,optimized_fairness_aware
O000232,2026-W14,2026-03-30,2026-04-06,7,7,1,P0116,L0116,H24,P,optimized_fairness_aware
O000233,2026-W14,2026-03-30,2026-04-06,7,7,1,P0107,L0107,STANDARD,P,optimized_fairness_aware
O000234,2026-W14,2026-03-30,2026-04-06,7,7,1,P0108,L0108,STANDARD,P,optimized_fairness_aware
O000235,2026-W14,2026-03-30,2026-04-06,7,7,1,P0109,L0109,STANDARD,P,optimized_fairness_aware
O000236,2026-W14,2026-03-30,2026-04-06,7,7,1,P0111,L0111,STANDARD,P,optimized_fairness_aware
O000237,2026-W14,2026-03-30,2026-04-06,7,7,1,P0113,L0113,STANDARD,P,optimized_fairness_aware
O000238,2026-W14,2026-03-30,2026-04-06,7,7,1,P0114,L0114,STANDARD,P,optimized_fairness_aware
O000239,2026-W14,2026-03-30,2026-04-06,7,7,1,P0115,L0115,STANDARD,P,optimized_fairness_aware
O000240,2026-W14,2026-03-30,2026-04-06,7,7,1,P0117,L0117,STANDARD,P,optimized_fairness_aware
O000241,2026-W14,2026-03-30,2026-04-06,7,7,1,P0118,L0118,STANDARD,P,optimized_fairness_aware
